// x m m6 t6 y_v1 y_m6
-1 32767 31 -2 -128 -124
-1 257 16 4 -2 -1
-128 255 31 5 -128 -124
127 -255 -31 5 -127 -124
128 255 31 5 127 124
1 32767 31 -2 127 124
-1 257 16 4 -2 -1
-129 255 31 5 -128 -125
128 255 31 5 127 124
127 255 31 5 126 123
1 32767 31 -2 127 124
-128 255 31 5 -128 -124
-1 32767 31 -2 -128 -124
-129 -255 -31 5 127 124
-128 255 31 5 -128 -124
-1 257 16 4 -2 -1
-129 -255 -31 5 127 124
128 -255 -31 5 -128 -124
-1 32767 31 -2 -128 -124
128 255 31 5 127 124
-129 -255 -31 5 127 124
-1 257 16 4 -2 -1
-128 255 31 5 -128 -124
128 255 31 5 127 124
-129 255 31 5 -128 -125
